NAME,CATEGORY,START DATE,END DATE,DESCRIPTION,ORGANIZER,VENUE,ADDRESS,URL
FinTech Risks & Opportunities: An Interdisciplinary Approach,Other,2017-11-16 08:00:00,2017-11-17 17:00:00,"Third Annual Financial Stability ConferenceHosted by the Office of Financial Research and the Center on Finance, Law, and Policy at University of MichiganThursday-Friday, November 16-17, 2017 @ University of Michigan Law School
Keynotes by Federal Reserve Governor Lael Brainard and Financial Times' US Managing Editor Gillian Tett
This two-day event will bring together a wide range of researchers, policymakers, students, and practitioners from various disciplines.
Financial technology, or FinTech, can be traced back to the introduction of the telegraph in the 1860s. Between then and the 1980s, most FinTech advancements were record-keeping and data systems found in the back offices of financial institutions, out of sight of the public. As internet technology became more available, however, FinTech evolved rapidly. Financial firms digitized their processes, and companies began introducing consumer-facing products such as online banking and PayPal. Today, FinTech continues to disrupt and to evolve, not only in how financial products and services are delivered, but who delivers them. Regulators and market participants face challenges in understanding and balancing the benefits of FinTech against potential risks.
Innovation helps catalyze growth and new opportunities while generating new risks. Regulatory structures in place could fail to accommodate changes in the financial marketplace. Regulators may overreact to new technologies, stifling innovation and locking in old forms of doing business. At the same time, regulatory complacency can have disastrous results, permitting the buildup of systemic risk or widespread consumer harms. This conference will explore methodologies that the private sector, researchers, and policymakers can use harness the upside potential of financial innovation while reducing the downside risks.
Panel topics will include:

The contours of entity-based regulation of innovation: FinTech charters and regulatory boundaries
FinTech innovations and the economy: High-Frequency Trading, Robo-Advising, and Artificial Intelligence
Systemic Risk in the Infrastructure: FinTech Problems and Solutions
FinTech and Financial Inclusion
RegTech: How Can Regulators be Part of the Solution?
Innovation & Regulation: Tradeoffs and Paths Forward

For more information, visit http://financelawpolicy.umich.edu/fintech-conference/","University of Michigan's Center on Finance, Law, and Policy",University of Michigan Law School,"Hutchins Hall Room 100 625 S. State St., Ann Arbor, MI 48109",https://www.eventbrite.com/e/fintech-risks-opportunities-an-interdisciplinary-approach-tickets-35938714663?aff=ebapi
Master of Accounting Admissions Chat - Domestic Applicants,Other,2017-11-16 08:00:00,2017-11-16 17:00:00,"Thinking about Grad School? Interested in learning more about the Ross Master of Accounting Program? 
Simply complete the registration for a 30-minute chat session with a MAcc Admissions Advisor. During the session, you will have the opportunity to individually learn more about the program or obtain tips for creating a desirable application for the MAcc Program. Once registered, you will receive an email offering the available time slots. Choose your desired meeting format: online, in-person, or via phone.
We look forward to chatting with you!",MAcc Admissions,Ross School of Business,"701 Tappan St., Ann Arbor, MI 48109",https://www.eventbrite.com/e/master-of-accounting-admissions-chat-domestic-applicants-registration-38421864832?aff=ebapi
Crochet Flower Scarf - Beginner Crochet Project!,Other,2017-11-16 11:00:00,2017-11-16 12:00:00,"Thursday, November 9, 11am-2pm, and Thursday, November 16, 11am-12pm • $76
Teacher: Beth Battey

Churchmouse’s pretty “Flowers Scarf” will keep summer in bloom around your neck all winter! Choose yarn that plays with color (like Zauberball or Crazy Zauberball) for a cheerful accessory, or go with a hand-dyed tonal skein for a more delicate bouquet. You’ll be making the smaller size of the two scarves detailed in Churchmouse’s pattern (plenty big for wearing around your neck), but once you get the hang of joining the flower motifs, you’ll easily be able to create larger pieces. Beth will show you how to create and join your motifs during week 1’s longer session, setting you up to work successfully at home before you return for questions and follow-up during week 2’s shorter session. It’s past time for you to make yourself something special! 
Pre-requisites: Participants should be familiar with the following: chain stitch, single crochet, double crochet, half double crochet, slip stitch.
Materials: 
• One skein (440 yds.) of fingering weight yarn, purchased from Spun
• Size US E crochet hook
• Darning or tapestry needle (optional)
• Pattern provided by Spun
Maximum number of students: 7

To register and pay online for any class, click on the ""Book Now"" button, stop by the store, or call 734-780-7867.",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/crochet-flower-scarf-beginner-crochet-project-tickets-39362298695?aff=ebapi
Ross BBA High School Student Information Session,,2017-11-17 14:00:00,2017-11-17 15:30:00,"Visit us!  
High School students, parents, and family members are welcome to join us in an information session dedicated to the undergraduate experience at the Stephen M. Ross School of Business.  During this session you will learn more about the Bachelors of Business Administration (BBA) program through an interactive presentation, current student panel, and tour of the Ross building.
The Ross BBA Program is nationally known for our focus on action-based learning, leadership development, and global experiences.  We hope to see you on campus so that you can discover this experience yourself!
We also encourage you to take the day to visit the University of Michigan’s campus by attending an Office of Undergraduate Admissions information session and tour.  Please visit www.admissions.umich.edu to sign up for this central campus experience as well.
This Ross information session and tour will be held at the Stephen M. Ross School of Business in Blau Hall at 700 East University.  (Information sessions and tours provided by the University’s Office of Undergraduate Admissions will be held at the Student Activities Building, 515 E Jefferson Street, Ann Arbor, MI 48109.)  For assistance, please call 734-763-5796 or email rossundergrad@umich.edu.",Ross Undergraduate Admissions,Ross School of Business - Blau 1580,"700 East University, Ann Arbor, MI 48109",https://www.eventbrite.com/e/ross-bba-high-school-student-information-session-registration-36855701395?aff=ebapi
Shibui Knits Mix Party,Other,2017-11-17 14:00:00,2017-11-17 16:00:00,"Enjoy the opportunity to experiment with Shibui’s unique fibers in different combinations and experience the luxe results firsthand. You will learn how to combine Shibui yarns to make fabrics that you never knew were possible. Shibui's stunning colors play differently in each yarn base, and the subtle variations create a unique visual depth and texture. We will examine swatches using different Shibui mixes and look at the different fabrics they create, and we'll browse patterns. Each participant will be given their own Mix Cheat Sheet to see which mixes will work for your preferred pattern and a Winding Card with each of Shibui's bases included. Then we will experiment swatching different mixes to see which creates the ideal fabric for your pattern. 

Pre-requisites: Students should know how to cast on, knit, and purl.  
Materials: It is recommended that everyone bring needles in sizes US 4, 5, 6, 7, 8, and 9 to get the most out of your mix party.
Maximum number of students: 7",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/shibui-knits-mix-party-tickets-39467648800?aff=ebapi
Shibui Knits FW 2017 Collection Trunk Show Happy Hour,Other,2017-11-17 16:00:00,2017-11-17 18:00:00,"Spun is hosting Shibui’s Fall 2017 collection at the shop from November 17-24. These designs feature everything we have come to expect from Shibui’s in-house designer, Shellie Anderson--garments that embody a clean, minimalist, wearable aesthetic, in a range of lush fabrics made possible by Shibui’s singular approach to design and construction. Join us for a Shibui Happy Hour and enjoy some beautiful yarn, a little winter camaraderie and warmth, drinks, treats and door prizes. Bonus: Wear a Shibui garment to the show, and earn an extra door prize entry!",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/shibui-knits-fw-2017-collection-trunk-show-happy-hour-tickets-39467646794?aff=ebapi
Escape the Museum: Find the Forged Fossil,Science & Technology,2017-11-17 17:30:00,2017-11-17 20:30:00,"Travel through the Museum discovering clues, solving puzzles and uncovering the “forged” fossil. Work together with your team to expose the truth behind the forged fossil. Celebrate your victory with free food and prizes! 
Doors open at 5:30pm for the 6:00pm Challenge Time and at 7:00pm for the 7:30pm Challenge Time. 
Two Escape Challenge Times: 6:00pm OR 7:30pm. (You may only register for ONE time slot). 
Teams MUST preregister for an Escape Challenge time (no more than 5 on a team). Only ONE person needs to register for the entire team. There will be limited spaces available for teams to register at the event. 
U-M Students or students at other universities welcome (must have Mcard or other student ID).",University of Michigan Museum of Natural History,University of Michigan Museum of Natural History,"1109 Geddes Ave. , Ann Arbor, MI 48109",https://www.eventbrite.com/e/escape-the-museum-find-the-forged-fossil-tickets-39452490461?aff=ebapi
Voices of Homelessness: Stories from Those with Lived Experience,Charity & Causes,2017-11-17 19:00:00,2017-11-17 20:00:00,"To recognize National Hunger & Homelessness Awareness Week, the Washtenaw Housing Alliance is hosting an evening of storytelling from members of our community with lived homelessness experience. This event is free and open to the public. 
This event is being held at The Common Cup, part of University Lutheran Chapel in Ann Arbor on November 17th from 7-8 pm.",Washtenaw Housing Alliance,The Common Cup,"1511 Washtenaw Avenue, Ann Arbor, MI 48104",https://www.eventbrite.com/e/voices-of-homelessness-stories-from-those-with-lived-experience-tickets-39256922512?aff=ebapi
Global Day of Code Retreat -,Science & Technology,2017-11-18 08:30:00,2017-11-18 16:30:00,"Registration is at a Pillar-Technology-provided-page for this event.Are you a software engineer looking for ways to improve your craft?• Are you a junior developer looking for ways to optimize your learning?• Do you find yourself struggling with TDD?• Do you wish to experience pair programming or find ways to improve?• Do you wish you could find time to deliberately practice coding?• Would you like to explore how external forces change the code you write?• Do you wish to connect with like minded engineers?If you said yes to any of those questions, then join us for the 2017 Global Day of Code Retreat!---DescriptionGDCR is a free event for developers that is truly global, run annually, and organized in local communities by volunteers. This year's GDCR 2017 in Ann Arbor will be the 4th year in a row hosted by Pillar Technology and Code Craftsman Saturdays. This one is on November 18th. This is a free event open to anyone with a passion for developing, or learning how to develop high quality software. Both breakfast and lunch will be provided by Pillar Technology.Registration is at a Pillar-Technology-provided-page for this event.Basic event format• Fill a room with developers from diverse backgrounds• Start with a simple programming problem: Conway's Game of Life.• Over the day, work with different partners to discuss and solve the problem in different ways.• Use pair programming and TDD to implement your solutions.---PreparationPillar Technology is sponsoring both space and food, so that we can focus on honing our skills and crafting quality code! So all you need to bring is an insatiable desire to practice your software crafting skills and your laptop (and power supply). If you have a favorite set of development tools or favorite test framework(s), make sure they're installed, but no stack will also work just fine because we use Cyber-Dojo.org, a LOT.It's not required, but some people like to learn a little bit about Conway's Game of Life (GoL) before the GDCR. Conway's GoL has four simple rules, but the result of those rules can appear fascinatingly complex. There are lots of online resources that are only a search away, but Wikipedia's entry and ConwayLife.com's Wiki are both good places to start; if you're more of a video person, check out AlexFSmirnov's 2 min intro to GoL.If Cellular Automata fascinate you, you likely will enjoy ""Golly"", an Open Source app that will get you seriously hooked on the power of ""four simple rules"". Not deep enough: try Life 1.05 , one of about a half-dozen formats for defining initial state, and alternatives to the original 4 simple rules.Registration is at a Pillar-Technology-provided-page for this event.FREE ParkingMultilevel parking is free all day on the weekends at the Washtenaw County Courthouse on the corner of E Ann St and 4th Avenue; entrance is on Ann St. There is also paid parking in the Library Lane parking garage across E Liberty St.---For more info information on the Global Day of Code Retreat visit: http://coderetreat.org/",Code Craftsman Saturdays and Pillar Technology,The Forge by Pillar,"301 E Liberty St #700, Ann Arbor, MI 48105",https://www.eventbrite.com/e/global-day-of-code-retreat--tickets-38927742927?aff=ebapi
MBA Test Readiness Workshop 11-18-17,Family & Education,2017-11-18 09:00:00,2017-11-18 12:00:00,"MBA Test Readiness Workshop
Are you planning to apply to an MBA program , but dreading the standardized test requirement?  Don’t sweat - set yourself up for success on the GMAT or GRE exam!  Join us for free workshop conducted by the training experts at The Princeton Review, hosted here at the Ross School of Business.
 
Ross School of Business MBA Test Readiness Workshop
Saturday, November 18, 2017
9:00 am – 12:00 pm
Room R 1240
701 Tappan St., Ann Arbor, MI 48109",Ross Part-Time MBA Programs,Ross School of Business,"701 Tappan St. Room R 1240, Ann Arbor, MI 48109",https://www.eventbrite.com/e/mba-test-readiness-workshop-11-18-17-registration-36870185718?aff=ebapi
Screening of Stage Russia's Eugene Onegin,"Film, Media & Entertainment",2017-11-18 18:00:00,2017-11-18 22:00:00,"The University of Michigan is proud to present a free screening of Stage Russia's famous Eugene Onegin! 
November 18th, 6pm in the Modern Languages Building, room 1200.
Please RSVP via the attending option.
We look forward to seeing you there!
 
FAQs
 
How can I contact the organizer with any questions?
Please email slavic@umich.edu with any questions.
 
Do I have to bring my printed ticket to the event?
You do not. The event is free and open to the public.",University of Michigan Slavic Department,Modern Languages Building,"812 E. Washington St. Room 1200, Ann Arbor, MI 48109",https://www.eventbrite.com/e/screening-of-stage-russias-eugene-onegin-tickets-38357019879?aff=ebapi
Tech Homecoming 2017,,2017-11-22 16:00:00,2017-11-22 19:00:00,"Back in Michigan for the holidays? Looking for a career in technology?
Join us for a happy hour on Wednesday, November 22nd (Thanksgiving Eve!) to experience the best Ann Arbor tech has to offer! Our goal is to reconnect talented out-of-towners in the tech industry with Ann Arbor and its vibrant tech ecosystem, which has produced hundreds of startups and billions in enterprise value in the last 5 years.
A handful of Ann Arbor's biggest and fastest-growing tech companies in Ann Arbor have organized a warm welcome for you at our private event at Fred's. Come mingle over drinks and appetizers before you head out to enjoy the biggest bar night in America!

Participating Companies:































A special thank you to our wonderful Sponsors:",Ann Arbor SPARK,Fred's,"403 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/tech-homecoming-2017-tickets-37954913167?aff=ebapi
CGIS/GSP Thanksgiving Dinner!,,2017-11-23 17:00:00,2017-11-23 19:00:00,"The Global Scholars Program plans to put on a Thanksgiving dinner for CGIS and GSP students who will still be on campus over break and hope to experience a traditional Thanksgiving! Come enjoy turkey with all the fixings.
Thanksgiving is typically a time for thankfulness, family, food, coziness, and (depending on each family's traditions) sports. If you know you'll still be on campus, enjoy this community meal.
Please RSVP by November 9th so the dinner can be planned accordingly!",Center for Global and Intercultural Study,North Quadrangle Residential and Academic Complex,"105 South State Street, Ann Arbor, MI 48109",https://www.eventbrite.com/e/cgisgsp-thanksgiving-dinner-tickets-39556040181?aff=ebapi
Small Business Saturday Trunk Show & Pop-up Shop,Other,2017-11-25 12:00:00,2017-11-25 16:00:00,"Stop by Spun in Ann Arbor on Small Business Saturday for a Mrs. Crosby trunk show and pop up shop. Meet the owner, see a stunning trunk show, and grab a few skeins for yourself.",Spun Ann Arbor,Spun Ann Arbor,"407 N 5th Ave, Ann Arbor, 48104",https://www.eventbrite.com/e/small-business-saturday-trunk-show-pop-up-shop-tickets-38615470913?aff=ebapi
The Business of Being an Artist: Coaching with Sandra Xenakis,Business & Professional,2017-11-27 10:00:00,2017-11-27 10:50:00,"""Art Meets Business"" Coaching for Artists & Creative Entrepreneurs with Sandra Xenakis
Free one-on-one business coaching for creative entrepreneurs. One hour available per individual.
Important note: No-shows will forfeit their chance to schedule a future coaching session. Please contact us at entrepreneurship@wccnet.edu or 734-249-5880 if you cannot attend your scheduled coaching session. 
Art Meets Business hopes to ""bust the myth"" of the starving artist by helping creative entrepreneurs become more successful. Research shows that the most successful entrepreneurs are those who have a firm grasp of basic business skills. AMB offers access to business resources and information on marketing, pricing, negotiating, using social networking sites, customer relations, working with galleries, record-keeping, contracts, and many other issues that affect the success of artists.",The Entrepreneurship Center at Washtenaw Community College,The Entrepreneurship Center at Washtenaw Community College,"4800 E Huron River Dr. Plant Operations/Facilities Building, Room 120, Ann Arbor, Michigan 48105",https://www.eventbrite.com/e/the-business-of-being-an-artist-coaching-with-sandra-xenakis-tickets-39194447648?aff=ebapi
Richard & Hinda Rosenthal Symposium: Pain & the Opioid Epidemic: A Path Forward,Health & Wellness,2017-11-27 15:00:00,2017-11-27 17:30:00,"Co-hosted by the National Academy of Medicine and the University of Michigan, Ann Arbor. 
Ford Auditorium | University of Michigan, Ann Arbor3:00-5:30 PMLive webcast available
This year’s symposium will focus on how challenges associated with managing acute and chronic pain have led to an explosion in the abuse of prescription pain medications and a nationwide epidemic. Panelists will consider how to inform health care policies that impact the opioid epidemic by asking:  


How can we use the wealth of epidemiological, clinical, and basic science information about the biology of pain and addiction to stem the opioid epidemic?


What can be done now?


What should be done in the longer term?



Pioneering pain researcher, Dr. Allan Basbaum, Professor and Chair of the Department of Anatomy at the University of California, San Francisco, and member of the National Academy of Medicine, will describe the current understanding of the neurobiology of pain and discuss opportunities to translate knowledge about basic research into treatments for various types of pain, as the country continues to confront real life challenges.
 The plenary lecture will be followed by a panel of University of Michigan faculty who will address various facets of the opioid epidemic across a wide range of disciplines; including:

Epidemiological aspects of opioid use and abuse
Clinical aspects of acute and chronic pain treatment
Neurobiological and behavioral mechanisms that predispose to substance use and addiction, and
Molecular and pharmacological aspects of opioid actions

A closing reception for all guests will follow the symposium. 
About the Rosenthal Symposium: Through the generosity of the Richard & Hinda Rosenthal Foundation, the National Academy of Medicine hosts an annual symposium to bring greater attention to critical health policy issues facing our country today. Learn more: NAM.edu/Rosenthal.",National Academy of Medicine ,"University of Michigan, Ann Arbor","1500 East Medical Center Drive, Ann Arbor, MI 48109",https://www.eventbrite.com/e/richard-hinda-rosenthal-symposium-pain-the-opioid-epidemic-a-path-forward-tickets-39339075233?aff=ebapi
Power your Potential: Master of Management Information Session,,2017-11-28 17:00:00,2017-11-28 18:00:00,"Complement your liberal arts, science, or engineering degree with the innovative 10-month Michigan Ross Master of Management. Within the environs of a top-ranked business school connected within one of the most prolific, respected institutions in the U.S., our goal is to ensure that you achieve your vision of success.
The Ross MM degree will give you:

Action-based curriculum which covers all functional areas of business,
High-impact leadership development,
Dynamic career search preparation program power your professional potential, and
Numerous opportunities to take your passion beyond the classroom with meaningful projects and partnerships.

Join us for this information session to learn more about the MM curriculum, career search preparation, extracurricular opportunities, financial information, post-graduation opportunities, and the application process.",MM Admissions,"Stephen M. Ross School of Business, R0320","701 Tappan Avenue, Ann Arbor, MI 48109",https://www.eventbrite.com/e/power-your-potential-master-of-management-information-session-registration-37221841530?aff=ebapi
Michigan Ross Part Time MBA Information Session 11-28-17,Family & Education,2017-11-28 18:00:00,2017-11-28 20:00:00,"Learn more about the Ross Part Time MBA Programs. 
 
See how you can earn a Top Ten MBA on a Part Time schedule. Take this opportunity to attend an information session and learn more about the Ross Weekend and Ross Evening MBA Programs.",Ross Part-Time MBA Programs,Ross School of Business,"701 Tappan St. Room R 1210, Ann Arbor, MI 48109",https://www.eventbrite.com/e/michigan-ross-part-time-mba-information-session-11-28-17-registration-34856998220?aff=ebapi
Master of Accounting Admissions Chat - International Applicants,Other,2017-11-29 08:00:00,2017-11-29 17:00:00,"Thinking about Grad School? Interested in learning more about the Ross Master of Accounting Program? 
Simply complete the registration for a 30-minute chat session with a MAcc Admissions Advisor. During the session, you will have the opportunity to individually learn more about the program or obtain tips for creating a desirable application for the MAcc Program. Once registered, you will receive an email offering the available time slots. Choose your desired meeting format: online, in-person, or via phone.
We look forward to chatting with you!",MAcc Admissions,Ross School of Business,"701 Tappan St., Ann Arbor, MI 48109",https://www.eventbrite.com/e/master-of-accounting-admissions-chat-international-applicants-registration-38421870850?aff=ebapi
Ross BBA Breakfast with Ouida Chichester,,2017-11-29 10:30:00,2017-11-29 12:00:00,Join us for a Ross BBA Breakfast with Ouida Chichester from BSR (Business for Social Responsibility).,Erb Institute ,Jeff T. Blau Hall- Room B3580,"700 East University Avenue, Ann Arbor, MI 48104",https://www.eventbrite.com/e/ross-bba-breakfast-with-ouida-chichester-tickets-39222486513?aff=ebapi
University of Michigan-Improving your ImmunoAssays with Perkin Elmer,Science & Technology,2017-11-29 11:30:00,2017-11-29 15:30:00,"JOIN US AT THE UNIVERSITY OF MICHIGAN FOR AN EXCITING EVENT!

Improving your ImmunoAssays with PerkinElmer – possible at Center for the Discovery of New Medicines. Our expert scientists are hosting a seminar to discuss solutions to improve Immunoassay performance. Several examples showing how traditional ELISA and Western Blot assays were converted to more performing assays using Lanthanide-based technologies (Alpha, LANCE and DELFIA) will be reviewed. 
 
Sign up now to reserve your spot. Limited seats available”",PerkinElmer,University of Michigan," 100 Washtenaw Avenue Palmer Commons, Great Lakes South Room, Ann Arbor, Michigan 48109",https://www.eventbrite.com/e/university-of-michigan-improving-your-immunoassays-with-perkin-elmer-tickets-38734821895?aff=ebapi
Pitch Club Ann Arbor,Business & Professional,2017-11-29 17:00:00,2017-11-29 19:30:00,"About Pitch Club
Pitch club is a  unique mentoring and funding program hosted across the state of Michigan in Detroit, Ann Arbor, Lansing, and Grand Rapids. Pitch Club has ongoing monthly events that provide entrepreneurs the opportunity to learn from seasoned entrepreneurs and investors. The events are meant to educate, network, inspire and provide valuable experiences for being investable. During the event, experts will discuss the key personality traits and business acumen any entrepreneur should understand to be successful in any fundraising efforts. As part of the events, 3 lucky entrepreneurs will receive the opportunity to practice their pitch and discuss business plan with funding experts, giving them a better understanding the mindset of an investor. Presenters will be given milestones to complete. In addition to guidance from our host and guest experts, attendees will be given a survey to provide additional feedback to the presenters. Pitch club will also feature a guest keynote who can speak on topics related to starting a company, technology, and opportunities for entrepreneurs.
Agenda


5:10pm – 5:25pm: Registration


5:25pm – 5:30pm: Opening Remarks


5:30pm-6:30pm: Company Presentations


6:30pm-6:35pm: 2 minute restroom break, and introduction of Paul Glantz


6:35pm-6:55pm: Keynote, Paul Glantz, Founder and Chairman of Emagine Entertainment, Inc. and CEO of Proctor Financial Inc


6:55pm – 7:10pm: Q&A with Audience


7:10pm – 7:30pm: Networking



Keynote
Paul Glantz, Founder and Chairman of Emagine Entertainment, Inc. and CEO of Proctor Financial Inc.
November 29th Judges
Chris Stallman, Partner at Fontinalis Partners, LLC
James Chapman, Entrepreneurship, Community Investment Fund, Quicken Loans 
Robi Mitra, CEO, K&A Resource Group
Steve Jbara , Owner, Grand Rapids Drive
Tember Shea, Director inGAGE, Inforum
Sridhar Lakshmanan, Educator, Entrepreneur, Mentor, University of Michigan, Dearborn

Who should attend?


Investors and corporate executives looking to network, hire talent, get inspired or are involved in M&A and/or business development.


Accredited investors looking for investment or co-investment opportunities.


The entrepreneur, who just had a flash of a billion dollar idea-looking for an investment.


Startups & early stage technology companies developing a viable business model.


Social entrepreneurs looking to disrupt and change the future.


Startups looking to connect  with mentors and educate themselves on all aspects of launching a business


Startups looking to create a profitable business model.",Kyyba Xcelerator ,SPARK,"330 E Liberty St, Ann Arbor, MI 48104",https://www.eventbrite.com/e/pitch-club-ann-arbor-tickets-36935960452?aff=ebapi
Master of Supply Chain Management Admissions Chat - International Applicants,Other,2017-11-30 08:00:00,2017-11-30 17:00:00,"Thinking about Grad School? Interested in learning more about the Ross Master of Supply Chain Management Program? 
Simply complete the registration for a 30-minute chat session with an MSCM Admissions Advisor. During the session, you will have the opportunity to individually learn more about the program or obtain tips for creating a desirable application for the MSCM Program. Once registered, you will receive an email offering the available time slots. Choose your desired meeting format: online, in-person, or via phone.
We look forward to chatting with you!",MSCM Admissions,Ross School of Business,"701 Tappan St., Ann Arbor, MI 48109",https://www.eventbrite.com/e/master-of-supply-chain-management-admissions-chat-international-applicants-registration-38421812676?aff=ebapi
Black Grad Happy Hour,Community & Culture,2017-11-30 18:00:00,2017-11-30 21:00:00,Note: This event is for University of Michigan Students ONLY,,Haymaker Public House,"203 East Washington Street, Ann Arbor, MI 48104",https://www.eventbrite.com/e/black-grad-happy-hour-tickets-39508436798?aff=ebapi
